State,Aadhaar assigned as of 2019,Area (per sq km),,
Andaman & Nicobar Islands,387019,8249,,
Andhra Pradesh,49145456,162970,,
Arunachal Pradesh,1229964,83743,,
Assam,6755448,78438,,
Bihar,102714667,94163,,
Chandigarh,1131522,114,,
Chhattisgarh,27414422,135192,,
Delhi,21763471,1483,,
Goa,1587012,3702,,
Gujarat,62097024,196244,,
Haryana,28941133,44212,,
Himachal Pradesh,7560770,55673,,
Jammu & Kashmir,10436172,222236,,
Jharkhand,34607477,79716,,
Karnataka,62462743,191791,,
Kerala,36475649,38852,,
Ladakh,210156,59146,,
Madhya Pradesh,74770270,308252,,
Maharashtra,114063427,307713,,
Manipur,2515724,22327,,
Meghalaya,978281,22429,,
Mizoram,1089577,21081,,
Nagaland,1262729,16579,,
Odisha,42825628,155707,,
Puducherry,1286189,490,,
Punjab,30355185,50362,,
Rajasthan,68936999,342239,,
Sikkim,578914,7096,,
Tamil Nadu,72344821,130060,,
Telengana,39184011,112077,,
Tripura,3672693,10486,,
Uttarakhand,11082791,53483,,
Uttar Pradesh,203757489,240928,,
West Bengal,91928327,88752,,
